"","Ensembl.Gene.ID","GeneSymbol","Initially.Assigned.Module.Color","consensus.kMEblack","consensus.kMEblue","consensus.kMEbrown","consensus.kMEcyan","consensus.kMEgreen","consensus.kMEgreenyellow","consensus.kMEmagenta","consensus.kMEmidnightblue","consensus.kMEpink","consensus.kMEpurple","consensus.kMEred","consensus.kMEsalmon","consensus.kMEtan","consensus.kMEturquoise","consensus.kMEyellow"
"ENSG00000109339","ENSG00000109339","MAPK10","grey",0.709865699767533,-0.533882960210034,0,-0.499255502897016,0,-0.0231828057341519,-0.632334004146329,0.372641615180694,0.268192611044349,-0.0369032810755597,0.727546899932182,-0.223618820569207,-0.331573368024784,0,-0.34622565187839
"ENSG00000109381","ENSG00000109381","ELF2","magenta",-0.38348830493633,0.471315132327612,0,0.529264057293204,0,0,0.658042509416999,0,-0.114002216912372,0,-0.642924767676615,0,0.361512000761536,0,0.181678077704979
"ENSG00000109390","ENSG00000109390","NDUFC1","grey",0.24502440118791,-0.42749854779207,-0.192077050142228,-0.0517474300613768,0.345671272341436,0,-0.1082751723918,0,0.377528286199041,-0.0955160156298535,0.103035825455236,-0.0507674896605228,0.0359691104616467,-0.0374833942476314,0
"ENSG00000109445","ENSG00000109445","ZNF330","blue",-0.0194095836458025,0.3017595997297,0.153631319136571,0.176100784561842,-0.124097718522801,0,0.209247923771938,0,-0.174379486179944,0,-0.203446501575953,0,0,0.031060911654264,-0.116794898299649
"ENSG00000109452","ENSG00000109452","INPP4B","grey",0.383055395431786,-0.476732374337498,0,-0.110645878337832,0,0,-0.499921298319833,0.0559223929696704,0.254739367348925,0,0.365418097030856,0,-0.341780702535115,0,-0.194449928237747
"ENSG00000109466","ENSG00000109466","KLHL2","grey",0.197563201253205,0,0,-0.221709601769968,0,0,0,0.0753135983402516,0,0,0.219702360326736,-0.0216211738757471,0,0.0476832763496071,-0.104979581563944
"ENSG00000109472","ENSG00000109472","CPE","grey",0,0,0,0.0779498839499901,0,0,-0.318332440791685,0,-0.284446782228357,0.403122957050058,0,0.0521990973544367,-0.571858318938812,0,0
"ENSG00000109501","ENSG00000109501","WFS1","purple",-0.28345308084341,0,-0.444665324183202,0.206608433112274,0.361902492762192,0.203218838254855,0,-0.423805867007961,0,0.59918746563115,-0.0722691030920675,0.430356797123009,0,0,0.407837446172237
"ENSG00000109519","ENSG00000109519","GRPEL1","grey",0.54743967719241,-0.0769457579049515,0.10837728582788,-0.415060886271259,0,-0.166449283777751,-0.115629886536558,0.46895593148241,0.057970569641078,-0.362020265032971,0.414361868104069,-0.380286078508375,0,-0.0632406790005384,-0.439688051733529
"ENSG00000109534","ENSG00000109534","GAR1","grey",-0.0598366242756081,0,0,0,0,0,0,0,-0.0239334681464432,0.0168145216096457,-0.0122187826299017,0,0,0.0405855057228886,0
"ENSG00000109572","ENSG00000109572","CLCN3","brown",0.207239493580701,0.0416172986986853,0.414969790655298,-0.123187351144843,-0.355154207761018,-0.0952313041417399,-0.307624508197452,0.370077359563134,-0.0797466577641269,0,0.179201451777659,-0.113414383529556,-0.193920416586181,0.0821683740817132,-0.323508690453003
"ENSG00000109576","ENSG00000109576","AADAT","grey",0.0864752803513267,-0.0735502973188337,0.0642048380872714,-0.497667963392446,-0.031690584754806,-0.0730858361002466,-0.372967303175452,0.156308255389085,0,-0.0795227775031232,0.376090074124032,-0.148671935661051,-0.0854217686416462,0.0615212341359288,-0.158716226036126
"ENSG00000109586","ENSG00000109586","GALNT7","blue",-0.091277332444598,0.503412821399685,0.289034311197251,0.115304861062108,-0.214866400261836,0,0.0456925210272299,0,-0.507785865148078,0.0220334055677654,-0.267474976055291,0,0,0.10836684613886,0
"ENSG00000109606","ENSG00000109606","DHX15","blue",0,0.631168224457304,0.625492352496393,0.175492460999567,-0.564223918133802,0,0,0.391328555766273,-0.379988341910832,0,-0.115145369842821,0,0,0,-0.172449833593812
"ENSG00000109610","ENSG00000109610","SOD3","green",-0.108070031999527,0,-0.33983644883669,0.0608449615347869,0.342997140039168,0.290461451251891,0,-0.39004395780184,0,0.466579397201327,0,0.393481872075939,0,0.0233304332007025,0.323709644563728
"ENSG00000109618","ENSG00000109618","SEPSECS","turquoise",-0.199190851262147,0.518572042220975,0.382818041597657,0.221988662173793,-0.145732458095404,0,0.160514504724859,0,-0.407164094417493,0.0409618588729864,-0.444949373901802,0.0279845714981923,0,0.206055135718291,0
